ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2023,4,La Pampa,La Pampa,61497,3651,65148,131725,0.49457582083886886,0.4668589865249573,0.056041628292503226
2023,4,La Rioja,La Rioja,106935,3640,110575,234303,0.47193164406772425,0.4563962049141496,0.03291883337101515
2023,4,Mendoza,Mendoza,501684,22510,524194,1051920,0.49832116510761276,0.476922199406799,0.04294211684986856
2023,4,Misiones,Misiones,180370,6502,186872,386767,0.48316428237155706,0.4663531273350622,0.034793869600582214
2023,4,Neuquén,Neuquén,155014,5832,160846,320529,0.5018141884197685,0.48361926689940693,0.03625828432164928
2023,4,Río Negro,Río Negro,34807,219,35026,85456,0.40987174686388317,0.4073090245272421,0.006252498144235711
2023,4,Salta,Salta,304803,15609,320412,661389,0.4844531735483959,0.46085284151989225,0.048715403917456275
2023,4,San Juan,San Juan,232175,9573,241748,551840,0.4380762539866628,0.4207288344447666,0.039599086652216356
2023,4,San Luis,San Luis,118253,2168,120421,247694,0.48616841748286194,0.4774156822531026,0.018003504372161003
2023,4,Santa Cruz,Santa Cruz,57199,2089,59288,129950,0.4562370142362447,0.4401616006156214,0.03523478612872757
2023,4,Santa Fe,Santa Fe,853668,45853,899521,1896847,0.4742190593126383,0.4500457865078206,0.0509749077564615
2023,4,Santiago del Estero,Santiago del Estero,182955,1817,184772,414278,0.4460096843182597,0.441623740579997,0.009833741043015175
2023,4,Tierra del Fuego,Tierra del Fuego,85774,4951,90725,176552,0.5138712673886447,0.48582853776790974,0.05457150730228713
2023,4,Tucumán,Tucumán,416551,24622,441173,920122,0.47947228737058784,0.4527127924340468,0.055810305707738234
2023,3,Buenos Aires,Buenos Aires,6688996,494110,7183106,14979846,0.4795180137365898,0.4465330284436836,0.06878779179925787
2023,3,Catamarca,Catamarca,97595,3970,101565,230485,0.44065774345402087,0.4234331952187778,0.03908826859646532
2023,3,Chaco,Chaco,171236,7273,178509,422502,0.42250450885439594,0.40529038915792115,0.040743043768101325
2023,3,Chubut,Chubut,169454,7856,177310,400992,0.44217839757401645,0.4225869842789881,0.04430658169307992
2023,3,Ciudad Autónoma de Buenos Aires,CABA,1587518,60010,1647528,3005004,0.5482614998183031,0.5282914764838915,0.036424267144473416
2023,3,Corrientes,Corrientes,164160,8976,173136,389126,0.4449355735674306,0.4218684950375971,0.0518436373717771
2023,3,Córdoba,Córdoba,829321,56401,885722,1774867,0.4990357023934751,0.4672581100443019,0.0636779937723123
2023,3,Entre Ríos,Entre Ríos,185824,10393,196217,449592,0.4364334774640118,0.4133169629352835,0.052966868314162384
2023,3,Formosa,Formosa,94824,1140,95964,260914,0.3677993515104594,0.3634300957403589,0.011879454795548331
