ANO4,TRIMESTRE,AGLOMERADO,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2021,3er Trimestre,Rio Cuarto,76262,4740,81002,179123,0.45221440016078335,0.42575213679985263,0.05851707365250241
2021,3er Trimestre,San Nicolas - Villa Constitucion,77982,5400,83382,195753,0.42595515777535975,0.39836937364944597,0.06476217888752968
2021,3er Trimestre,Rawson - Trelew,61665,5694,67359,147363,0.45709574316483786,0.418456464648521,0.08453213379058477
2021,3er Trimestre,Viedma - Carmen de Patagones.,33164,514,33678,83575,0.4029673945557882,0.3968172300329046,0.015262188966090624
2021,2do Trimestre,Gran La Plata,388638,33193,421831,903760,0.4667511286182172,0.43002345755510313,0.07868791056133854
2021,2do Trimestre,Bahia Blanca - Cerri,132721,12861,145582,316048,0.4606325621424594,0.4199393762972713,0.08834196535285956
2021,2do Trimestre,Gran Rosario,585221,78038,663259,1328792,0.4991443356070777,0.44041580623603993,0.1176584109676612
2021,2do Trimestre,Gran Santa Fe,224613,21947,246560,537885,0.458387945378659,0.4175855433782314,0.08901281635301753
2021,2do Trimestre,Gran Parana,123120,5548,128668,281826,0.45655120535365795,0.4368652998658747,0.04311872415829888
2021,2do Trimestre,Posadas,172315,9235,181550,375807,0.48309371565723896,0.4585199317734901,0.0508675296061691
2021,2do Trimestre,Gran Resistencia,164025,13717,177742,416599,0.42665008797428705,0.39372394076798073,0.0771736561983099
2021,2do Trimestre,Cdro. Rivadavia - R.Tilly,92647,2507,95154,240426,0.3957725038057448,0.38534517897398785,0.026346764192782226
2021,2do Trimestre,Gran Mendoza,487233,45442,532675,1032354,0.5159809522702484,0.47196310567886596,0.08530905336274464
2021,2do Trimestre,Corrientes,151859,9714,161573,382565,0.42234130147818016,0.3969495379870087,0.060121431179714434
2021,2do Trimestre,Gran Cordoba,671936,95218,767154,1572001,0.48801113994202294,0.42743993165398747,0.12411849511310637
2021,2do Trimestre,Concordia,59788,6320,66108,161854,0.40844217628232854,0.3693946396134788,0.09560113753252254
2021,2do Trimestre,Formosa,82284,4220,86504,255082,0.3391223214495731,0.32257862177652674,0.04878387126606862
2021,2do Trimestre,Neuquen - Plottier,124699,11122,135821,311055,0.4366462522704988,0.40089051775409495,0.08188718975710678
2021,2do Trimestre,S. del Estero - La Banda,165173,7918,173091,405517,0.4268403050920183,0.40731461319747386,0.04574472387356939
2021,2do Trimestre,Jujuy - Palpala,153992,10622,164614,349792,0.47060538834507365,0.4402387704693075,0.06452671097233528
2021,2do Trimestre,Rio Gallegos,47853,4297,52150,124302,0.41954272658525205,0.38497369310228313,0.08239693192713327
2021,2do Trimestre,Gran Catamarca,87417,5834,93251,225090,0.4142831756186414,0.38836465413834464,0.06256233177124106
2021,2do Trimestre,Salta,269624,31460,301084,642934,0.46829690139267793,0.4193649736987,0.10448911267287535
2021,2do Trimestre,La Rioja,97900,2709,100609,225354,0.44644869849215013,0.43442761166875227,0.026926020534942204
2021,2do Trimestre,San Luis - El Chorrillo,102855,2537,105392,239034,0.4409079879849728,0.4302944351012827,0.02407203582814635
2021,2do Trimestre,Gran San Juan,218035,11215,229250,540107,0.4244529324744912,0.40368852838419056,0.04892039258451472
2021,2do Trimestre,Gran Tucuman - T. Viejo,342622,48331,390953,905778,0.43162121402816145,0.37826266480307535,0.12362355577268878
2021,2do Trimestre,Santa Rosa - Toay,51202,7888,59090,128755,0.4589336336452953,0.3976699933983146,0.1334912844812997
2021,2do Trimestre,Ushuaia - Rio Grande,71252,7850,79102,168015,0.47080320209505105,0.424081183227688,0.0992389572956436
2021,2do Trimestre,Ciudad de Buenos Aires,1418720,140426,1559146,3001892,0.519387772777968,0.47260860817111344,0.09006597201288398
2021,2do Trimestre,Partidos del GBA,5005406,588768,5594174,12546479,0.44587601031333174,0.3989490597322165,0.10524663694765304
2021,2do Trimestre,Mar del Plata - Batan,250415,32940,283355,648775,0.4367538823166737,0.3859812723979808,0.11624993382858957
2021,2do Trimestre,Rio Cuarto,75688,5956,81644,178737,0.45678287092208103,0.42346016773247847,0.07295085983048356
2021,2do Trimestre,San Nicolas - Villa Constitucion,72109,6398,78507,195443,0.40168744851440064,0.36895156132478524,0.08149591756149133
2021,2do Trimestre,Rawson - Trelew,57557,6916,64473,147008,0.4385679690901175,0.39152291031780584,0.10726970980100196
