ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2021,1er Trimestre,Corrientes,0.4334468774056006,36000,5166.67,6.967737440169393
2021,1er Trimestre,Gran Cordoba,0.42654974998026773,45200,5845.416000000001,7.732554877189235
2021,1er Trimestre,Concordia,0.42128602120908454,36500,4428.57,8.241938142560691
2021,1er Trimestre,Formosa,0.39472750477011687,28500,4675,6.096256684491979
2021,1er Trimestre,Neuquen - Plottier,0.3978667781165939,50500,6500,7.769230769230769
2021,1er Trimestre,S. del Estero - La Banda,0.39579110815913054,31750,6040,5.256622516556291
2021,1er Trimestre,Jujuy - Palpala,0.3625764690764868,32500,6333.33,5.131581648200868
2021,1er Trimestre,Rio Gallegos,0.41234921972309735,65000,9600,6.770833333333333
2021,1er Trimestre,Gran Catamarca,0.37368860758107303,35000,6250,5.6
2021,1er Trimestre,Salta,0.44069582546399033,42500,5319.044000000001,7.99015762982972
2021,1er Trimestre,La Rioja,0.31897142668793776,31125,7125,4.368421052631579
2021,1er Trimestre,San Luis - El Chorrillo,0.384405856942692,40000,6269.6,6.379992344009187
2021,1er Trimestre,Gran San Juan,0.37820415689378706,37500,6350,5.905511811023622
2021,1er Trimestre,Gran Tucuman - T. Viejo,0.4181323688239331,35250,4900,7.1938775510204085
2021,1er Trimestre,Santa Rosa - Toay,0.44471142343600434,70450.00000000001,6250,11.272000000000002
2021,1er Trimestre,Ushuaia - Rio Grande,0.41724842821801644,65000,10000,6.5
2021,1er Trimestre,Ciudad de Buenos Aires,0.4125778513553655,93750,12000,7.8125
2021,1er Trimestre,Partidos del GBA,0.45295770747043207,48824.99999999999,5000,9.764999999999999
2021,1er Trimestre,Mar del Plata - Batan,0.40048874971918735,62900.00000000003,6150.000000000003,10.227642276422765
2021,1er Trimestre,Rio Cuarto,0.3750107370993305,45000,7500,6
2021,1er Trimestre,San Nicolas - Villa Constitucion,0.41223809745895323,39733.33,5833.33,6.811431892246796
2021,1er Trimestre,Rawson - Trelew,0.4276550093369451,78000,9666.67,8.068962734840436
2021,1er Trimestre,Viedma - Carmen de Patagones.,0.36543016524089467,50000,8220,6.082725060827251
2020,4to Trimestre,Gran La Plata,0.411122930766183,45000,7000,6.428571428571429
2020,4to Trimestre,Bahia Blanca - Cerri,0.35326095101348187,43750,6466.67,6.765460430175036
2020,4to Trimestre,Gran Rosario,0.37302485197784563,37750,6250,6.04
2020,4to Trimestre,Gran Santa Fe,0.3800948110621789,36200.000000000044,5071.43,7.138026158302499
2020,4to Trimestre,Gran Parana,0.3386932980652091,33399.998,6640.002,5.030118665626907
2020,4to Trimestre,Posadas,0.34931185331242887,30000,5790,5.181347150259067
2020,4to Trimestre,Gran Resistencia,0.3921620399554513,28666.67,5000,5.733333999999999
2020,4to Trimestre,Cdro. Rivadavia - R.Tilly,0.42281511244857484,50000,8685.716000000008,5.756577811201743
2020,4to Trimestre,Gran Mendoza,0.41670298949020435,36000,5900,6.101694915254237
2020,4to Trimestre,Corrientes,0.39537651074380165,26400,4600,5.739130434782608
2020,4to Trimestre,Gran Cordoba,0.3993703710711145,38875,6666.67,5.831247084376458
2020,4to Trimestre,Concordia,0.35991080515140084,26333.33,5171.43,5.092078980088679
2020,4to Trimestre,Formosa,0.33353520447025176,26750,5800,4.612068965517241
2020,4to Trimestre,Neuquen - Plottier,0.43647891883107093,52500,5077.78,10.339163965354938
2020,4to Trimestre,S. del Estero - La Banda,0.32186071583964804,22500,5666.67,3.970585899655353
2020,4to Trimestre,Jujuy - Palpala,0.3438257085596774,26250,5266.67,4.9841740606493286
2020,4to Trimestre,Rio Gallegos,0.39202288272571195,48000,8000,6
2020,4to Trimestre,Gran Catamarca,0.3588652551534892,27119.999999999985,5266.67,5.1493638295165605
